ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA	SEROTYPE	eBG
79	11	11	17	40	32	9	40	Infantis	
80	42	40	17	41	33	36	41	Miami	111
81	43	41	16	42	35	13	4	Montevideo	40
82	41	42	43	12	9	12	2	Muenchen	8
82	41	42	43	12	9	12	2	Typhimurium	8
83	41	9	21	12	8	37	17	Muenchen	
84	44	14	44	14	15	38	17	Muenchen	
85	45	4	8	44	27	9	8		11
85	45	4	8	44	27	9	8	Paratyphi_A	11
85	45	4	8	44	27	9	8	Sendai	11
86	2	14	24	14	37	19	8	Paratyphi_B	5
88	46	44	46	46	38	18	34	Paratyphi_B	19
89	47	45	47	47	39	9	43		
89	47	45	47	47	39	9	43	Limete	
90	48	31	35	14	26	40	44	Paratyphi_C	20
91	49	11	25	15	12	15	4		50
91	49	11	25	15	12	15	4	Oranienburg	50
92	5	2	3	7	31	41	11		4
92	5	2	3	7	31	41	11	Gallinarum_var_Pullorum	4
93	50	10	25	13	10	13	4	Reading	43
94	42	46	48	48	40	35	4	Rubislaw	133
95	3	36	43	38	16	42	38	Saintpaul	209
96	43	47	49	49	41	15	3	Schwarzengrund	33
97	51	48	43	50	42	43	45	Stanleyville	
98	10	7	50	9	5	9	2	Typhimurium	1
99	10	7	12	9	5	9	46	Typhimurium	1
101	52	3	40	51	44	45	3	Wien	
102	53	49	51	52	45	46	48	Wien	
103	54	50	27	53	46	47	49		
104	55	51	52	54	47	48	50		
105	33	26	30	55	21	49	28		126
106	56	25	29	56	48	50	51		
107	57	52	31	57	22	29	30		
108	58	29	53	29	24	30	52		48
110	2	2	24	14	2	19	8	Paratyphi_B	5
111	41	42	43	12	9	12	53	Muenchen	8
112	41	42	43	58	9	12	2		8
112	41	42	43	58	9	12	2	Muenchen	8
112	41	42	43	58	9	12	2	Valdosta	8
113	9	9	6	59	9	12	2	Manhattan	27
114	48	31	35	14	26	52	8	Paratyphi_C	20
115	16	2	45	43	36	12	42	Newport	2
116	10	7	21	14	15	39	12	Newport	3
117	16	2	45	43	15	12	42	Newport	2
118	16	2	45	43	36	39	42		2
118	16	2	45	43	36	39	42	Newport	2
119	16	2	18	43	36	12	42	Newport	2
120	16	2	40	43	36	39	42	Newport	2
121	10	7	21	14	36	12	12	Newport	3
122	16	2	45	43	15	39	42	Newport	2
123	10	2	21	43	36	12	42	Newport	2
125	10	7	21	14	15	53	12	Newport	3
126	11	10	25	13	10	35	4		21
126	11	10	25	13	10	35	4	Sandiego	21
127	46	54	46	46	38	18	34	Paratyphi_B	19
128	10	7	12	9	5	55	2	Typhimurium	1
129	45	4	8	44	27	56	8	Paratyphi_A	11
130	45	4	8	44	50	9	8	Paratyphi_A	11
131	10	56	21	14	15	12	12	Newport	3
132	2	57	15	14	15	20	12	Newport	7
133	36	31	35	14	26	6	55	Choleraesuis_var_Kunzendorf	6
134	45	4	8	44	53	9	8	Sendai	11
135	46	55	23	14	16	54	56	Paratyphi_B	242
136	5	2	3	61	6	6	11	Enteritidis	4
137	10	7	12	9	5	57	2	Typhimurium	1
138	11	41	55	42	34	58	4	Montevideo	39
139	36	31	57	14	26	34	8	Choleraesuis	6
140	13	11	17	16	13	60	4	Miami	158
141	59	58	56	62	51	59	16	Infantis	
142	2	59	23	64	38	61	12		34
142	2	59	23	64	38	61	12	Bovismorbificans	34
143	60	12	17	63	13	16	4	Javiana	17
145	36	31	35	14	26	6	8	Choleraesuis	6
145	36	31	35	14	26	6	8	Choleraesuis_var_Kunzendorf	6
