Betalactámicos	ACC-2
Betalactámicos	ACC-3
Betalactámicos	ACC-4
Betalactámicos	ACC-5
Betalactámicos	ACI-1
Betalactámicos	ACT-1
Betalactámicos	ACT-10
Betalactámicos	ACT-12
Betalactámicos	ACT-14
Betalactámicos	ACT-15
Betalactámicos	ACT-16
Betalactámicos	ACT-2
Betalactámicos	ACT-3
Betalactámicos	ACT-38
Betalactámicos	ACT-4
Betalactámicos	ACT-5
Betalactámicos	ACT-6
Betalactámicos	ACT-7
Betalactámicos	ACT-8
Betalactámicos	ACT-9
Betalactámicos	ADC-11
Betalactámicos	ADC-25
Betalactámicos	ADC-30
Betalactámicos	ADC-56
Betalactámicos	ADC-58
Betalactámicos	ADC-59
Betalactámicos	ADC-60
Betalactámicos	ADC-61
Betalactámicos	ADC-62
Betalactámicos	ADC-67
Betalactámicos	ADC-68
Betalactámicos	ADC-73
Betalactámicos	ADC-74
Betalactámicos	ADC-75
Betalactámicos	ADC-76
Betalactámicos	ADC-77
Betalactámicos	ADC-78
Betalactámicos	AER-1
Betalactámicos	AIM-1
Betalactámicos	AMPH
Betalactámicos	AQU1
Betalactámicos	AQU2
Betalactámicos	AQU3
Betalactámicos	AST-1
Betalactámicos	AZECL-25
Betalactámicos	AmpC
Betalactámicos	AmpC1
Betalactámicos	AmpC2
Betalactámicos	AmpH
Betalactámicos	AmpS
Betalactámicos	B-1
Betalactámicos	B-10
Betalactámicos	B-11
Betalactámicos	B-12
Betalactámicos	B-13
Betalactámicos	B-14
Betalactámicos	B-2
Betalactámicos	B-3
Betalactámicos	B-5
Betalactámicos	B-6
Betalactámicos	B-7
Betalactámicos	B-8
Betalactámicos	B-9
Betalactámicos	BCL-1
Betalactámicos	BEL-1
Betalactámicos	BEL-2
Betalactámicos	BEL-3
Betalactámicos	BES-1
Betalactámicos	BIC-1
Betalactámicos	BIL-1
Betalactámicos	BKC-1
Betalactámicos	BLA-1
Betalactámicos	BRO-1
Betalactámicos	BRO-2
Betalactámicos	BlaA
Betalactámicos	BlaA1
Betalactámicos	BlaA2
Betalactámicos	BlaZ
Betalactámicos	CARB-1
Betalactámicos	CARB-10
Betalactámicos	CARB-11
Betalactámicos	CARB-2
Betalactámicos	CARB-3
Betalactámicos	CARB-4
Betalactámicos	CARB-5
Betalactámicos	CARB-6
Betalactámicos	CARB-7
Betalactámicos	CARB-8
Betalactámicos	CARB-8_OU
Betalactámicos	CARB-9
Betalactámicos	CAU-1
Betalactámicos	CCR-A
Betalactámicos	CEPA-29
Betalactámicos	CEPA-29
Betalactámicos	CEPA-44
Betalactámicos	CEPA-49
Betalactámicos	CEPH
Betalactámicos	CEPH-A3
Betalactámicos	CFE-1
Betalactámicos	CGA-1
Betalactámicos	CGB-1
Betalactámicos	CIA-1
Betalactámicos	CIA-2
Betalactámicos	CIA-3
Betalactámicos	CIA-4
Betalactámicos	CKO-1
Betalactámicos	CME-1
Betalactámicos	CMG
Betalactámicos	CMH-1
Betalactámicos	CMY-1
Betalactámicos	CMY-10
Betalactámicos	CMY-104
Betalactámicos	CMY-105
Betalactámicos	CMY-106
Betalactámicos	CMY-108
Betalactámicos	CMY-11
Betalactámicos	CMY-110
Betalactámicos	CMY-111
Betalactámicos	CMY-112
Betalactámicos	CMY-113
Betalactámicos	CMY-114
Betalactámicos	CMY-115
Betalactámicos	CMY-116
Betalactámicos	CMY-117
Betalactámicos	CMY-118
Betalactámicos	CMY-119
Betalactámicos	CMY-12
Betalactámicos	CMY-13
Betalactámicos	CMY-131
Betalactámicos	CMY-132
Betalactámicos	CMY-133
Betalactámicos	CMY-135
Betalactámicos	CMY-14
Betalactámicos	CMY-15
Betalactámicos	CMY-16
Betalactámicos	CMY-17
Betalactámicos	CMY-18
Betalactámicos	CMY-19
Betalactámicos	CMY-2
Betalactámicos	CMY-20
Betalactámicos	CMY-21
Betalactámicos	CMY-22
Betalactámicos	CMY-23
Betalactámicos	CMY-24
Betalactámicos	CMY-25
Betalactámicos	CMY-26
Betalactámicos	CMY-27
Betalactámicos	CMY-28
Betalactámicos	CMY-29
Betalactámicos	CMY-30
Betalactámicos	CMY-31
Betalactámicos	CMY-32
Betalactámicos	CMY-33
Betalactámicos	CMY-34
Betalactámicos	CMY-35
Betalactámicos	CMY-36
Betalactámicos	CMY-37
Betalactámicos	CMY-38
Betalactámicos	CMY-39
Betalactámicos	CMY-4
Betalactámicos	CMY-40
Betalactámicos	CMY-41
Betalactámicos	CMY-42
Betalactámicos	CMY-43
Betalactámicos	CMY-44
Betalactámicos	CMY-45
Betalactámicos	CMY-46
Betalactámicos	CMY-47
Betalactámicos	CMY-48
Betalactámicos	CMY-49
Betalactámicos	CMY-5
Betalactámicos	CMY-50
Betalactámicos	CMY-51
Betalactámicos	CMY-53
Betalactámicos	CMY-54
Betalactámicos	CMY-55
Betalactámicos	CMY-56
Betalactámicos	CMY-57
Betalactámicos	CMY-58
Betalactámicos	CMY-6
Betalactámicos	CMY-60
Betalactámicos	CMY-61
Betalactámicos	CMY-62
Betalactámicos	CMY-63
Betalactámicos	CMY-64
Betalactámicos	CMY-65
Betalactámicos	CMY-66
Betalactámicos	CMY-67
Betalactámicos	CMY-68
Betalactámicos	CMY-69
Betalactámicos	CMY-7
Betalactámicos	CMY-70
Betalactámicos	CMY-71
Betalactámicos	CMY-72
Betalactámicos	CMY-73
Betalactámicos	CMY-74
Betalactámicos	CMY-75
Betalactámicos	CMY-76
Betalactámicos	CMY-77
Betalactámicos	CMY-78
Betalactámicos	CMY-79
Betalactámicos	CMY-8
Betalactámicos	CMY-80
Betalactámicos	CMY-81
Betalactámicos	CMY-83
Betalactámicos	CMY-84
Betalactámicos	CMY-87
Betalactámicos	CMY-9
Betalactámicos	CMY-94
Betalactámicos	CMY-95
Betalactámicos	CTX-M-1
Betalactámicos	CTX-M-10
Betalactámicos	CTX-M-100
Betalactámicos	CTX-M-101
Betalactámicos	CTX-M-102
Betalactámicos	CTX-M-104
Betalactámicos	CTX-M-105
Betalactámicos	CTX-M-106
Betalactámicos	CTX-M-107
Betalactámicos	CTX-M-108
Betalactámicos	CTX-M-109
Betalactámicos	CTX-M-11
Betalactámicos	CTX-M-110
Betalactámicos	CTX-M-111
Betalactámicos	CTX-M-112
Betalactámicos	CTX-M-113
Betalactámicos	CTX-M-114
Betalactámicos	CTX-M-116
Betalactámicos	CTX-M-117
Betalactámicos	CTX-M-12
Betalactámicos	CTX-M-121
Betalactámicos	CTX-M-122
Betalactámicos	CTX-M-123
Betalactámicos	CTX-M-124
Betalactámicos	CTX-M-125
Betalactámicos	CTX-M-126
Betalactámicos	CTX-M-129
Betalactámicos	CTX-M-130
Betalactámicos	CTX-M-131
Betalactámicos	CTX-M-132
Betalactámicos	CTX-M-133
Betalactámicos	CTX-M-134
Betalactámicos	CTX-M-136
Betalactámicos	CTX-M-139
Betalactámicos	CTX-M-14
Betalactámicos	CTX-M-15
Betalactámicos	CTX-M-16
Betalactámicos	CTX-M-17
Betalactámicos	CTX-M-19
Betalactámicos	CTX-M-2
Betalactámicos	CTX-M-20
Betalactámicos	CTX-M-21
Betalactámicos	CTX-M-22
Betalactámicos	CTX-M-23
Betalactámicos	CTX-M-24
Betalactámicos	CTX-M-25
Betalactámicos	CTX-M-26
Betalactámicos	CTX-M-27
Betalactámicos	CTX-M-28
Betalactámicos	CTX-M-29
Betalactámicos	CTX-M-3
Betalactámicos	CTX-M-30
Betalactámicos	CTX-M-31
Betalactámicos	CTX-M-32
Betalactámicos	CTX-M-33
Betalactámicos	CTX-M-34
Betalactámicos	CTX-M-35
Betalactámicos	CTX-M-36
Betalactámicos	CTX-M-37
Betalactámicos	CTX-M-38
Betalactámicos	CTX-M-39
Betalactámicos	CTX-M-4
Betalactámicos	CTX-M-40
Betalactámicos	CTX-M-41
Betalactámicos	CTX-M-42
Betalactámicos	CTX-M-43
Betalactámicos	CTX-M-44
Betalactámicos	CTX-M-45
Betalactámicos	CTX-M-46
Betalactámicos	CTX-M-47
Betalactámicos	CTX-M-48
Betalactámicos	CTX-M-49
Betalactámicos	CTX-M-5
Betalactámicos	CTX-M-50
Betalactámicos	CTX-M-51
Betalactámicos	CTX-M-52
Betalactámicos	CTX-M-53
Betalactámicos	CTX-M-54
Betalactámicos	CTX-M-55
Betalactámicos	CTX-M-56
Betalactámicos	CTX-M-58
Betalactámicos	CTX-M-59
Betalactámicos	CTX-M-6
Betalactámicos	CTX-M-60
Betalactámicos	CTX-M-61
Betalactámicos	CTX-M-62
Betalactámicos	CTX-M-63
Betalactámicos	CTX-M-64
Betalactámicos	CTX-M-65
Betalactámicos	CTX-M-66
Betalactámicos	CTX-M-67
Betalactámicos	CTX-M-68
Betalactámicos	CTX-M-69
Betalactámicos	CTX-M-7
Betalactámicos	CTX-M-71
Betalactámicos	CTX-M-72
Betalactámicos	CTX-M-74
Betalactámicos	CTX-M-75
Betalactámicos	CTX-M-76
Betalactámicos	CTX-M-77
Betalactámicos	CTX-M-78
Betalactámicos	CTX-M-79
Betalactámicos	CTX-M-8
Betalactámicos	CTX-M-80
Betalactámicos	CTX-M-81
Betalactámicos	CTX-M-82
Betalactámicos	CTX-M-83
Betalactámicos	CTX-M-84
Betalactámicos	CTX-M-85
Betalactámicos	CTX-M-86
Betalactámicos	CTX-M-88
Betalactámicos	CTX-M-89
Betalactámicos	CTX-M-9
Betalactámicos	CTX-M-90
Betalactámicos	CTX-M-91
Betalactámicos	CTX-M-92
Betalactámicos	CTX-M-93
Betalactámicos	CTX-M-94
Betalactámicos	CTX-M-95
Betalactámicos	CTX-M-96
Betalactámicos	CTX-M-97
Betalactámicos	CTX-M-98
Betalactámicos	CTX-M-99
Betalactámicos	CfiA1
Betalactámicos	CfiA10
Betalactámicos	CfiA13
Betalactámicos	CfiA14
Betalactámicos	CfiA15
Betalactámicos	CfiA2
Betalactámicos	CfiA3
Betalactámicos	CfiA4
Betalactámicos	CfiA6
Betalactámicos	CfiA8
Betalactámicos	CfiA9
Betalactámicos	CfxA
Betalactámicos	CfxA2
Betalactámicos	CfxA4
Betalactámicos	CfxA5
Betalactámicos	CfxA6
Betalactámicos	CphA
Betalactámicos	CphA1
Betalactámicos	CphA2
Betalactámicos	CphA4
Betalactámicos	CphA5
Betalactámicos	CphA6
Betalactámicos	CphA7
Betalactámicos	CphA8
Betalactámicos	DES-1
Betalactámicos	DHA-1
Betalactámicos	DHA-2
Betalactámicos	DHA-3
Betalactámicos	DHA-5
Betalactámicos	DHA-6
Betalactámicos	DHA-7
Betalactámicos	DHA-9
Betalactámicos	DIM-1
Betalactámicos	EBR-1
Betalactámicos	ERP-1
Betalactámicos	FAR-1
Betalactámicos	FEZ-1
Betalactámicos	FIM-1
Betalactámicos	FONA-1
Betalactámicos	FONA-2
Betalactámicos	FONA-3
Betalactámicos	FONA-4
Betalactámicos	FONA-5
Betalactámicos	FONA-6
