AGly	APH-Stph
AGly	Aac
AGly	Aac-IIIa
AGly	Aac2-Ia
AGly	Aac2-Ib
AGly	Aac2-Ic
AGly	Aac2-Id
AGly	Aac2-Ie
AGly	Aac3-I
AGly	Aac3-I
AGly	Aac3-IIIb
AGly	Aac3-IIIc
AGly	Aac3-IIa
AGly	Aac3-IIc
AGly	Aac3-IId
AGly	Aac3-IIe
AGly	Aac3-IXa
AGly	Aac3-Ib
AGly	Aac3-Ib-Aac6-Ib
AGly	Aac3-Ic
AGly	Aac3-Id
AGly	Aac3-If
AGly	Aac3-Ig
AGly	Aac3-Ih
AGly	Aac3-Ii
AGly	Aac3-Ik
AGly	Aac3-Iva
AGly	Aac3-VII
AGly	Aac3-VIa
AGly	Aac3-Vb
AGly	Aac3-Xa
AGly	Aac6
AGly	Aac6-31
AGly	Aac6-32
AGly	Aac6-33
AGly	Aac6-Aph2
AGly	Aac6-I30
AGly	Aac6-IIa
AGly	Aac6-IIb
AGly	Aac6-IIc
AGly	Aac6-IL
AGly	Aac6-Ia
AGly	Aac6-Iaa
AGly	Aac6-Iad
AGly	Aac6-Iae
AGly	Aac6-Iaf
AGly	Aac6-Iai
AGly	Aac6-Ib
AGly	Aac6-Ic
AGly	Aac6-Id
AGly	Aac6-If
AGly	Aac6-Ig
AGly	Aac6-Ih
AGly	Aac6-Ii
AGly	Aac6-Ij
AGly	Aac6-Ik
AGly	Aac6-Im
AGly	Aac6-Iq
AGly	Aac6-Ir
AGly	Aac6-Is
AGly	Aac6-It
AGly	Aac6-Iu
AGly	Aac6-Iv
AGly	Aac6-Iw
AGly	Aac6-Iy
AGly	Aac6-Iz
AGly	Aac6Ib-cr
AGly	Aac8
AGly	AacA29b
AGly	AacA4
AGly	AacA43
AGly	AadA1
AGly	AadA1-pm
AGly	AadA10
AGly	AadA11
AGly	AadA12
AGly	AadA13
AGly	AadA14
AGly	AadA15
AGly	AadA16
AGly	AadA17
AGly	AadA2
AGly	AadA21
AGly	AadA22
AGly	AadA23
AGly	AadA24
AGly	AadA24
AGly	AadA3
AGly	AadA4
AGly	AadA5
AGly	AadA6
AGly	AadA7
AGly	AadA8
AGly	AadA8b
AGly	AadA9
AGly	AadB
AGly	AadC
AGly	AadD
AGly	AadE-Pp
AGly	AadK-Pm
AGly	Ant3''Ih-Aac6-IId
AGly	Ant4-IIa
AGly	Ant4-IIb
AGly	Ant4-Ib
AGly	Ant6-Ia
AGly	Ant6-Ib
AGly	Aph(3')-Ic
AGly	Aph(6)-Id
AGly	Aph2''Ic
AGly	Aph2''Id
AGly	Aph2''Ie
AGly	Aph2-Ib
